dataset,metric,method_a,method_b,median_a,median_b,median_diff,p_two_sided,sig_bonferroni
4site_GB1,top128,MULTIevolve,FLEXS,0.44001222592501604,0.41701473618609153,0.022997489738924515,0.1459994912147522,False
4site_GB1,top128,MULTIevolve,CLADE,0.44001222592501604,0.4142933152878641,0.025718910637151926,0.08406547829508781,False
4site_GB1,top128,MULTIevolve,GreedyWalk,0.44001222592501604,0.26361982754032265,0.1763923983846934,9.313225746154785e-09,True
4site_GB1,top128,MULTIevolve,AiCE,0.44001222592501604,0.12340767950172711,0.31660454642328895,1.862645149230957e-09,True
4site_GB1,top128,MULTIevolve,EVOLVEpro,0.44001222592501604,0.022809939770874997,0.41720228615414107,1.862645149230957e-09,True
4site_GB1,top128,MULTIevolve,Random,0.44001222592501604,0.002422329948174186,0.43758989597684184,1.862645149230957e-09,True
4site_GB1,top128,FLEXS,CLADE,0.41701473618609153,0.4142933152878641,0.0027214208982274113,0.7151329666376114,False
4site_GB1,top128,FLEXS,GreedyWalk,0.41701473618609153,0.26361982754032265,0.15339490864576888,1.862645149230957e-09,True
4site_GB1,top128,FLEXS,AiCE,0.41701473618609153,0.12340767950172711,0.29360705668436443,1.862645149230957e-09,True
4site_GB1,top128,FLEXS,EVOLVEpro,0.41701473618609153,0.022809939770874997,0.39420479641521655,1.862645149230957e-09,True
4site_GB1,top128,FLEXS,Random,0.41701473618609153,0.002422329948174186,0.4145924062379173,1.862645149230957e-09,True
4site_GB1,top128,CLADE,GreedyWalk,0.4142933152878641,0.26361982754032265,0.15067348774754147,2.0489096641540527e-07,True
4site_GB1,top128,CLADE,AiCE,0.4142933152878641,0.12340767950172711,0.290885635786137,1.862645149230957e-09,True
4site_GB1,top128,CLADE,EVOLVEpro,0.4142933152878641,0.022809939770874997,0.39148337551698914,1.862645149230957e-09,True
4site_GB1,top128,CLADE,Random,0.4142933152878641,0.002422329948174186,0.4118709853396899,1.862645149230957e-09,True
4site_GB1,top128,GreedyWalk,AiCE,0.26361982754032265,0.12340767950172711,0.14021214803859555,2.60770320892334e-08,True
4site_GB1,top128,GreedyWalk,EVOLVEpro,0.26361982754032265,0.022809939770874997,0.24080988776944764,1.862645149230957e-09,True
4site_GB1,top128,GreedyWalk,Random,0.26361982754032265,0.002422329948174186,0.26119749759214844,1.862645149230957e-09,True
4site_GB1,top128,AiCE,EVOLVEpro,0.12340767950172711,0.022809939770874997,0.10059773973085212,1.862645149230957e-09,True
4site_GB1,top128,AiCE,Random,0.12340767950172711,0.002422329948174186,0.12098534955355292,1.862645149230957e-09,True
4site_GB1,top128,EVOLVEpro,Random,0.022809939770874997,0.002422329948174186,0.02038760982270081,1.862645149230957e-09,True
4site_PhoQ,top128,MULTIevolve,ALDE,0.12630787385660328,0.12207793586618648,0.004229937990416793,0.044907208532094955,False
4site_PhoQ,top128,MULTIevolve,ftMLDE,0.12630787385660328,0.11796442834842394,0.008343445508179337,0.00577649287879467,False
4site_PhoQ,top128,MULTIevolve,AlphaVariant,0.12630787385660328,0.10453576074651255,0.021772113110090724,1.597777009010315e-05,True
4site_PhoQ,top128,MULTIevolve,FLEXS,0.12630787385660328,0.10007861240343618,0.02622926145316709,5.587935447692871e-09,True
4site_PhoQ,top128,MULTIevolve,CLADE,0.12630787385660328,0.09825509011015218,0.028052783746451093,1.862645149230957e-09,True
4site_PhoQ,top128,MULTIevolve,AiCE,0.12630787385660328,0.06181512890361989,0.06449274495298338,1.862645149230957e-09,True
4site_PhoQ,top128,MULTIevolve,EVOLVEpro,0.12630787385660328,0.04469406145137015,0.08161381240523313,1.862645149230957e-09,True
4site_PhoQ,top128,MULTIevolve,GreedyWalk,0.12630787385660328,0.03956686821223694,0.08674100564436633,1.862645149230957e-09,True
4site_PhoQ,top128,MULTIevolve,Random,0.12630787385660328,0.0005809563871597937,0.12572691746944348,1.862645149230957e-09,True
4site_PhoQ,top128,ALDE,ftMLDE,0.12207793586618648,0.11796442834842394,0.0041135075177625435,0.3598779272288084,False
4site_PhoQ,top128,ALDE,AlphaVariant,0.12207793586618648,0.10453576074651255,0.01754217511967393,0.0006665531545877457,True
4site_PhoQ,top128,ALDE,FLEXS,0.12207793586618648,0.10007861240343618,0.021999323462750298,1.0609626770019531e-05,True
4site_PhoQ,top128,ALDE,CLADE,0.12207793586618648,0.09825509011015218,0.0238228457560343,2.366676926612854e-05,True
4site_PhoQ,top128,ALDE,AiCE,0.12207793586618648,0.06181512890361989,0.06026280696256659,1.862645149230957e-09,True
4site_PhoQ,top128,ALDE,EVOLVEpro,0.12207793586618648,0.04469406145137015,0.07738387441481634,1.862645149230957e-09,True
4site_PhoQ,top128,ALDE,GreedyWalk,0.12207793586618648,0.03956686821223694,0.08251106765394954,1.862645149230957e-09,True
4site_PhoQ,top128,ALDE,Random,0.12207793586618648,0.0005809563871597937,0.12149697947902668,1.862645149230957e-09,True
